NumIters	Seconds	LearningRate	loss
170260.0	62602.76195	0.001	0.495268
170280.0	62609.926422	0.001	0.223154
170300.0	62617.369283	0.001	0.777351
170320.0	62624.622014	0.001	0.133073
170340.0	62631.984599	0.001	0.724896
170360.0	62639.26948	0.001	0.598659
170380.0	62646.733917	0.001	0.172767
170400.0	62654.080827	0.001	0.2964
170420.0	62661.448103	0.001	0.0506328
170440.0	62668.707118	0.001	0.0692974
170460.0	62676.113082	0.001	0.188384
170480.0	62683.507678	0.001	0.59492
170500.0	62690.927179	0.001	0.27939
170520.0	62698.279542	0.001	0.37619
170540.0	62705.628016	0.001	0.463831
170560.0	62713.064159	0.001	0.127542
170580.0	62720.627794	0.001	0.388896
170600.0	62728.090029	0.001	0.120217
170620.0	62735.250222	0.001	0.349641
170640.0	62742.571269	0.001	0.294566
170660.0	62749.824723	0.001	0.565121
170680.0	62757.213546	0.001	0.537551
170700.0	62764.528308	0.001	0.260119
170720.0	62771.858395	0.001	0.351831
170740.0	62779.275642	0.001	0.229212
170760.0	62786.821493	0.001	0.294547
170780.0	62794.033299	0.001	0.495912
170800.0	62801.31663	0.001	0.113339
170820.0	62808.769403	0.001	0.260816
170840.0	62816.11952	0.001	0.173027
170860.0	62823.345811	0.001	0.15372
170880.0	62830.609618	0.001	0.317843
170900.0	62838.019979	0.001	0.599054
170920.0	62845.290055	0.001	0.605949
170940.0	62852.629082	0.001	0.776416
170960.0	62860.027329	0.001	0.626992
170980.0	62867.494952	0.001	0.163603
171000.0	62874.706702	0.001	0.183789
171020.0	62881.93243	0.001	0.19819
171040.0	62889.190768	0.001	0.0716885
171060.0	62896.574101	0.001	0.494724
171080.0	62904.07786	0.001	0.493292
171100.0	62911.389715	0.001	0.513826
171120.0	62918.873389	0.001	0.298117
171140.0	62926.130203	0.001	0.944573
171160.0	62933.411562	0.001	0.533049
171180.0	62940.705911	0.001	0.507404
171200.0	62947.96145	0.001	0.452313
171220.0	62955.111877	0.001	0.370005
171240.0	62962.353569	0.001	0.231954
171260.0	62969.930464	0.001	0.161858
171280.0	62977.370801	0.001	0.220444
171300.0	62984.712527	0.001	0.138468
171320.0	62991.971865	0.001	0.0986572
171340.0	62999.327528	0.001	0.146451
171360.0	63006.535668	0.001	0.469705
171380.0	63013.83154	0.001	0.158529
